timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-06-11 17:20:45.352,julius-pod-gu-380,Pending,minikube,minikube,100,0
2024-06-11 17:20:47.261,julius-pod-gu-380,Running,minikube,minikube,100,0
2024-06-11 17:20:49.353,julius-pod-gu-370,Running,minikube,minikube-m02,96,11
2024-06-11 17:20:50.532,julius-pod-gu-370,Succeeded,minikube,minikube-m02,96,11
2024-06-11 17:20:50.899,julius-pod-gu-396,Pending,minikube,minikube-m02,48,11
2024-06-11 17:20:50.915,julius-pod-gu-396,Pending,minikube,minikube-m02,48,11
2024-06-11 17:20:51.512,julius-pod-gu-370,Succeeded,minikube,minikube-m02,96,11
2024-06-11 17:20:52.565,julius-pod-gu-396,Running,minikube,minikube-m02,48,11
2024-06-11 17:20:53.601,mrleo-pod-gu-107,Running,minikube-m02,minikube-m02,53,0
2024-06-11 17:20:54.748,mrleo-pod-gu-107,Succeeded,minikube-m02,minikube-m02,53,0
2024-06-11 17:20:55.640,mrleo-pod-gu-107,Succeeded,minikube-m02,minikube-m02,53,0
2024-06-11 17:20:55.700,mrleo-pod-gu-113,Pending,minikube-m02,minikube-m02,30,0
2024-06-11 17:20:55.713,mrleo-pod-gu-113,Pending,minikube-m02,minikube-m02,30,0
2024-06-11 17:20:56.663,mrleo-pod-gu-113,Running,minikube-m02,minikube-m02,30,0
2024-06-11 17:20:57.697,mrleo-pod-gu-111,Running,minikube-m02,minikube-m02,83,0
2024-06-11 17:20:58.863,mrleo-pod-gu-111,Succeeded,minikube-m02,minikube-m02,83,0
2024-06-11 17:20:59.347,mrleo-pod-gu-115,Pending,minikube-m02,minikube-m02,112,0
2024-06-11 17:20:59.353,mrleo-pod-gu-115,Pending,minikube-m02,minikube-m02,112,0
2024-06-11 17:20:59.752,mrleo-pod-gu-111,Succeeded,minikube-m02,minikube-m02,83,0
2024-06-11 17:21:00.787,mrleo-pod-gu-115,Running,minikube-m02,minikube-m02,112,0
2024-06-11 17:21:48.158,julius-pod-gu-378,Running,minikube,minikube-m02,61,11
2024-06-11 17:21:49.355,julius-pod-gu-378,Succeeded,minikube,minikube-m02,61,11
2024-06-11 17:21:50.238,julius-pod-gu-378,Succeeded,minikube,minikube-m02,61,11
2024-06-11 17:21:50.586,julius-pod-gu-402,Pending,minikube,minikube-m02,67,11
2024-06-11 17:21:50.603,julius-pod-gu-402,Pending,minikube,minikube-m02,67,11
2024-06-11 17:21:52.357,julius-pod-gu-402,Running,minikube,minikube-m02,67,11
2024-06-11 17:21:56.455,julius-pod-gu-380,Running,minikube,minikube,100,0
2024-06-11 17:21:57.627,julius-pod-gu-380,Succeeded,minikube,minikube,100,0
2024-06-11 17:21:58.448,julius-pod-bu-9,Pending,minikube,minikube-m02,66,11
2024-06-11 17:21:58.468,julius-pod-bu-9,Pending,minikube,minikube-m02,66,11
2024-06-11 17:21:58.500,julius-pod-gu-380,Succeeded,minikube,minikube,100,0
2024-06-11 17:21:59.555,julius-pod-bu-9,Running,minikube,minikube-m02,66,11
2024-06-11 17:22:02.656,julius-pod-gu-396,Running,minikube,minikube-m02,48,11
2024-06-11 17:22:03.835,julius-pod-gu-396,Succeeded,minikube,minikube-m02,48,11
2024-06-11 17:22:04.406,aeneas-pod-gu-117,Pending,minikube,minikube,89,0
2024-06-11 17:22:04.422,aeneas-pod-gu-117,Pending,minikube,minikube,89,0
2024-06-11 17:22:04.712,julius-pod-gu-396,Succeeded,minikube,minikube-m02,48,11
2024-06-11 17:22:05.767,aeneas-pod-gu-117,Running,minikube,minikube,89,0
2024-06-11 17:22:27.440,mrleo-pod-gu-113,Running,minikube-m02,minikube-m02,30,0
2024-06-11 17:22:28.463,mrleo-pod-gu-115,Running,minikube-m02,minikube-m02,112,0
2024-06-11 17:22:28.612,mrleo-pod-gu-113,Succeeded,minikube-m02,minikube-m02,30,0
2024-06-11 17:22:29.097,aeneas-pod-gu-118,Pending,minikube-m02,minikube,113,11
2024-06-11 17:22:29.128,aeneas-pod-gu-118,Pending,minikube-m02,minikube,113,11
2024-06-11 17:22:29.492,mrleo-pod-gu-113,Succeeded,minikube-m02,minikube-m02,30,0
2024-06-11 17:22:29.678,mrleo-pod-gu-115,Succeeded,minikube-m02,minikube-m02,112,0
2024-06-11 17:22:30.038,mrleo-pod-gu-122,Pending,minikube-m02,minikube-m02,86,0
2024-06-11 17:22:30.059,mrleo-pod-gu-122,Pending,minikube-m02,minikube-m02,86,0
2024-06-11 17:22:30.814,mrleo-pod-gu-115,Succeeded,minikube-m02,minikube-m02,112,0
2024-06-11 17:22:30.849,aeneas-pod-gu-118,Running,minikube-m02,minikube,113,11
2024-06-11 17:22:31.898,mrleo-pod-gu-122,Running,minikube-m02,minikube-m02,86,0
2024-06-11 17:23:00.390,julius-pod-gu-402,Running,minikube,minikube-m02,67,11
2024-06-11 17:23:01.597,julius-pod-gu-402,Succeeded,minikube,minikube-m02,67,11
2024-06-11 17:23:02.462,julius-pod-gu-402,Succeeded,minikube,minikube-m02,67,11
2024-06-11 17:23:02.588,aeneas-pod-gu-128,Pending,minikube,minikube,42,0
2024-06-11 17:23:02.607,aeneas-pod-gu-128,Pending,minikube,minikube,42,0
2024-06-11 17:23:04.567,aeneas-pod-gu-128,Running,minikube,minikube,42,0
2024-06-11 17:23:07.651,julius-pod-bu-9,Running,minikube,minikube-m02,66,11
2024-06-11 17:23:08.856,julius-pod-bu-9,Succeeded,minikube,minikube-m02,66,11
2024-06-11 17:23:09.711,julius-pod-bu-9,Succeeded,minikube,minikube-m02,66,11
2024-06-11 17:23:09.732,aeneas-pod-gu-117,Running,minikube,minikube,89,0
2024-06-11 17:23:10.915,aeneas-pod-gu-117,Succeeded,minikube,minikube,89,0
